timestamp_hour,prev_pip,previous 9 number,prev 8 pip change,prev9 prices,pips_output
18,3,"[5, 5, 5, 5, 5, 7, 5, 7, 5]","[-1, 1, -1, 1, -1, 0, 0, 0]","[1.05935, 1.0593, 1.05935, 1.0593, 1.05935, 1.05925, 1.0593, 1.05925, 1.0593]",4
18,1,"[7, 2, 7, 9, 7, 7, 5, 7, 5]","[-1, 1, -1, 1, 0, 1, -1, 1]","[1.0598, 1.05975, 1.0598, 1.0597, 1.0598, 1.05985, 1.0599, 1.05985, 1.0599]",-1
18,1,"[7, 9, 7, 7, 5, 7, 5, 7, 5]","[-1, 1, 0, 1, -1, 1, -1, 1]","[1.0598, 1.0597, 1.0598, 1.05985, 1.0599, 1.05985, 1.0599, 1.05985, 1.0599]",-1
18,1,"[7, 5, 7, 7, 5, 7, 5, 7, 5]","[1, -1, 0, 1, 0, 0, -1, 1]","[1.05985, 1.0599, 1.05985, 1.0598, 1.0599, 1.05995, 1.0599, 1.05985, 1.0599]",-6
18,1,"[5, 7, 5, 7, 2, 7, 5, 7, 5]","[-1, 1, 0, -13, 13, 0, 0, 0]","[1.0599, 1.05985, 1.0599, 1.05995, 1.05865, 1.05995, 1.0599, 1.05995, 1.0599]",-6
18,1,"[5, 7, 2, 7, 5, 7, 5, 7, 5]","[0, -13, 13, 0, 0, 0, -1, 1]","[1.0599, 1.05995, 1.05865, 1.05995, 1.0599, 1.05995, 1.0599, 1.05985, 1.0599]",-8
18,2,"[2, 7, 5, 7, 5, 7, 5, 7, 5]","[13, 0, 0, 0, -1, 1, 0, 0]","[1.05865, 1.05995, 1.0599, 1.05995, 1.0599, 1.05985, 1.0599, 1.05995, 1.0599]",-8
18,2,"[5, 7, 5, 7, 5, 7, 5, 7, 5]","[0, 0, -1, 1, 0, 0, 0, 0]","[1.0599, 1.05995, 1.0599, 1.05985, 1.0599, 1.05995, 1.0599, 1.05995, 1.0599]",-7
18,-6,"[1, 3, 5, 3, 5, 3, 5, 7, 5]","[-1, 0, 0, 0, 0, 0, -1, 0]","[1.05945, 1.0594, 1.05935, 1.0594, 1.05935, 1.0594, 1.05935, 1.05925, 1.0593]",5
18,2,"[2, 1, 6, 7, 6, 7, 5, 7, 5]","[-1, 0, -1, 1, -1, 0, 0, 0]","[1.0601, 1.06005, 1.06, 1.05995, 1.06, 1.05995, 1.0599, 1.05995, 1.0599]",4
18,2,"[9, 7, 9, 7, 7, 7, 5, 7, 5]","[1, -1, 1, 0, 0, 1, -1, 1]","[1.0602, 1.0603, 1.06025, 1.06035, 1.0603, 1.06035, 1.0604, 1.06035, 1.0604]",-1
18,-3,"[3, 1, 3, 5, 5, 5, 5, 7, 5]","[0, 0, -1, 0, 0, 0, -1, 1]","[1.0605, 1.06055, 1.0605, 1.06045, 1.0604, 1.06045, 1.0604, 1.06035, 1.0604]",-5
18,-2,"[9, 9, 7, 9, 9, 7, 5, 7, 5]","[0, 1, -1, 0, 1, 1, -1, 1]","[1.0602, 1.06025, 1.0603, 1.06025, 1.0602, 1.06035, 1.0604, 1.06035, 1.06045]",-5
18,-2,"[7, 9, 9, 7, 5, 7, 5, 7, 5]","[-1, 0, 1, 1, -1, 1, -1, 1]","[1.0603, 1.06025, 1.0602, 1.06035, 1.0604, 1.06035, 1.06045, 1.06035, 1.0604]",-5
18,-4,"[5, 6, 1, 2, 1, 7, 5, 7, 5]","[1, 0, 1, -1, -1, 0, -1, 1]","[1.0599, 1.06, 1.06005, 1.0601, 1.06005, 1.05995, 1.0599, 1.05985, 1.0599]",2
18,2,"[9, 6, 9, 7, 5, 5, 5, 7, 5]","[-1, 1, 1, 1, 0, 0, -1, 1]","[1.0602, 1.06015, 1.06025, 1.06035, 1.0604, 1.06045, 1.0604, 1.06035, 1.0604]",-4
18,1,"[9, 7, 5, 5, 5, 7, 5, 7, 5]","[1, 1, 0, 0, -1, 1, -1, 1]","[1.06025, 1.06035, 1.0604, 1.06045, 1.0604, 1.06035, 1.0604, 1.06035, 1.0604]",-2
18,-7,"[8, 1, 3, 5, 5, 5, 5, 7, 5]","[-1, -1, 0, -1, 1, -1, 0, 0]","[1.0595, 1.05945, 1.0594, 1.05935, 1.0593, 1.05935, 1.0593, 1.05925, 1.0593]",3
18,5,"[8, 6, 9, 2, 7, 7, 5, 7, 5]","[1, 1, 0, 1, 0, 1, 0, 0]","[1.05955, 1.05965, 1.0597, 1.05975, 1.0598, 1.05985, 1.0599, 1.05995, 1.0599]",1
18,3,"[7, 7, 5, 7, 7, 7, 5, 7, 5]","[1, 0, -1, 0, 0, 1, 0, 0]","[1.05985, 1.05995, 1.0599, 1.05985, 1.0598, 1.05985, 1.0599, 1.05995, 1.0599]",0
